Ind_Ext,Force_Ext,Ind_Ret,Force_Ret,Ind_Away,Force_Away,Ind_Ext2,Force_Ext2,IndentXWave,IndentFitWave
-9.09E-07,2.15E-09,-1.47E-07,2.67E-09,-1.14E-06,4.83E-09,,,-9.09E-07,0
-9.08E-07,2.07E-09,-1.48E-07,2.79E-09,-1.14E-06,4.62E-09,,,-9.08E-07,0
-9.07E-07,1.92E-09,-1.49E-07,2.94E-09,-1.14E-06,4.21E-09,,,-9.07E-07,0
-9.06E-07,2.09E-09,-1.50E-07,3.28E-09,-1.14E-06,3.92E-09,,,-9.06E-07,0
-9.05E-07,2.12E-09,-1.51E-07,3.15E-09,-1.14E-06,3.84E-09,,,-9.05E-07,0
-9.04E-07,2.25E-09,-1.52E-07,2.88E-09,-1.14E-06,3.51E-09,,,-9.04E-07,0
-9.03E-07,2.39E-09,-1.53E-07,2.76E-09,-1.14E-06,3.12E-09,,,-9.03E-07,0
-9.02E-07,2.08E-09,-1.54E-07,2.67E-09,-1.14E-06,3.03E-09,,,-9.02E-07,0
-9.00E-07,1.74E-09,-1.55E-07,2.89E-09,-1.14E-06,2.91E-09,,,-9.00E-07,0
-8.99E-07,1.77E-09,-1.56E-07,2.82E-09,-1.14E-06,2.89E-09,,,-8.99E-07,0
-8.98E-07,1.90E-09,-1.57E-07,2.79E-09,-1.14E-06,2.96E-09,,,-8.98E-07,0
-8.97E-07,1.67E-09,-1.58E-07,2.69E-09,-1.14E-06,3.12E-09,,,-8.97E-07,0
-8.96E-07,1.56E-09,-1.59E-07,2.72E-09,-1.14E-06,2.75E-09,,,-8.96E-07,0
-8.95E-07,1.45E-09,-1.60E-07,3.03E-09,-1.14E-06,2.70E-09,,,-8.95E-07,0
-8.94E-07,1.49E-09,-1.61E-07,2.92E-09,-1.14E-06,2.67E-09,,,-8.94E-07,0
-8.93E-07,1.55E-09,-1.62E-07,3.09E-09,-1.14E-06,2.81E-09,,,-8.93E-07,0
-8.92E-07,1.96E-09,-1.63E-07,3.07E-09,-1.14E-06,3.11E-09,,,-8.92E-07,0
-8.91E-07,2.44E-09,-1.65E-07,3.40E-09,-1.14E-06,3.30E-09,,,-8.91E-07,0
-8.89E-07,2.35E-09,-1.66E-07,3.35E-09,-1.14E-06,3.25E-09,,,-8.89E-07,0
-8.88E-07,1.97E-09,-1.67E-07,3.35E-09,-1.14E-06,3.17E-09,,,-8.88E-07,0
-8.87E-07,1.96E-09,-1.68E-07,3.42E-09,-1.14E-06,2.68E-09,,,-8.87E-07,0
-8.86E-07,2.40E-09,-1.69E-07,3.69E-09,-1.14E-06,2.75E-09,,,-8.86E-07,0
-8.85E-07,2.69E-09,-1.70E-07,3.62E-09,-1.14E-06,2.86E-09,,,-8.85E-07,0
-8.84E-07,2.77E-09,-1.71E-07,3.83E-09,-1.14E-06,3.28E-09,,,-8.84E-07,0
-8.83E-07,3.27E-09,-1.72E-07,3.74E-09,-1.14E-06,3.06E-09,,,-8.83E-07,0
-8.82E-07,3.69E-09,-1.73E-07,3.45E-09,-1.14E-06,3.00E-09,,,-8.82E-07,0
-8.81E-07,3.71E-09,-1.74E-07,3.21E-09,-1.14E-06,3.06E-09,,,-8.81E-07,0
-8.80E-07,4.04E-09,-1.75E-07,3.09E-09,-1.14E-06,3.37E-09,,,-8.80E-07,0
-8.79E-07,4.10E-09,-1.76E-07,3.30E-09,-1.14E-06,3.51E-09,,,-8.79E-07,0
-8.77E-07,3.73E-09,-1.77E-07,3.61E-09,-1.14E-06,3.48E-09,,,-8.77E-07,0
-8.76E-07,3.67E-09,-1.78E-07,3.86E-09,-1.14E-06,3.72E-09,,,-8.76E-07,0
-8.75E-07,3.99E-09,-1.79E-07,3.72E-09,-1.14E-06,3.82E-09,,,-8.75E-07,0
-8.74E-07,4.06E-09,-1.80E-07,3.79E-09,-1.14E-06,3.64E-09,,,-8.74E-07,0
-8.73E-07,4.25E-09,-1.82E-07,3.96E-09,-1.14E-06,3.77E-09,,,-8.73E-07,0
-8.72E-07,4.33E-09,-1.83E-07,3.90E-09,-1.14E-06,4.01E-09,,,-8.72E-07,0
-8.71E-07,4.31E-09,-1.84E-07,3.76E-09,-1.14E-06,3.79E-09,,,-8.71E-07,0
-8.70E-07,4.01E-09,-1.85E-07,3.75E-09,-1.14E-06,3.78E-09,,,-8.70E-07,0
-8.68E-07,3.99E-09,-1.86E-07,3.35E-09,-1.14E-06,3.62E-09,,,-8.68E-07,0
-8.67E-07,3.86E-09,-1.87E-07,3.44E-09,-1.14E-06,3.66E-09,,,-8.67E-07,0
-8.66E-07,3.73E-09,-1.88E-07,3.66E-09,-1.14E-06,3.43E-09,,,-8.66E-07,0
-8.65E-07,3.91E-09,-1.89E-07,3.47E-09,-1.14E-06,3.42E-09,,,-8.65E-07,0
-8.64E-07,3.79E-09,-1.90E-07,3.41E-09,-1.14E-06,3.11E-09,,,-8.64E-07,0
-8.63E-07,3.47E-09,-1.91E-07,3.47E-09,-1.14E-06,2.82E-09,,,-8.63E-07,0
-8.62E-07,3.42E-09,-1.92E-07,3.47E-09,-1.14E-06,2.54E-09,,,-8.62E-07,0
-8.61E-07,3.41E-09,-1.93E-07,3.46E-09,-1.14E-06,2.64E-09,,,-8.61E-07,0
